Date;Zone;Consommation_totale;Consommation_industrielle_(hors_SFM);Consommation_distribution_publique;Consommation_SFM;Consommation_PIRR;Prevision_realisee_en_J-5_prevision_totale_GRTgaz;Prevision_realisee_en_J-4_prevision_totale_GRTgaz;Prevision_realisee_en_J-3_prevision_totale_GRTgaz;Prevision_realisee_en_J-2_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_avant_17h_prevision_totale_GRTgaz;Prevision_realisee_en_J_avant_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J_apres_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J-5_indus_hors_SFM;Prevision_realisee_en_J-4_indus_hors_SFM;Prevision_realisee_en_J-3_indus_hors_SFM;Prevision_realisee_en_J-2_indus_hors_SFM;Prevision_realisee_en_J-1_avant_17h_indus_hors_SFM;Prevision_realisee_en_J-1_apres_17h_indus_hors_SFM;Prevision_realisee_en_J_avant_15h_indus_hors_SFM;Prevision_realisee_en_J_apres_15h_indus_hors_SFM;Prevision_realisee_en_J-5_distribution_publique;Prevision_realisee_en_J-4_distribution_publique;Prevision_realisee_en_J-3_distribution_publique;Prevision_realisee_en_J-2_distribution_publique; Prevision_realisee_en_J-1_avant_17h_distribution_publique;Prevision_realisee_en_J-1_apres_17h_distribution_publique;Prevision_realisee_en_J_avant_15h_distribution_publique;Prevision_realisee_en_J_apres_15h_distribution_publique;Prevision_realisee_en_J-5_SFM;Prevision_realisee_en_J-4_SFM;Prevision_realisee_en_J-3_SFM;Prevision_realisee_en_J-2_SFM; Prevision_realisee_en_J-1_avant_17h_SFM;Prevision_realisee_en_J-1_apres_17h_SFM;Prevision_realisee_en_J_avant_15h_SFM;Prevision_realisee_en_J_apres_15h_SFM;Prevision_realisee_en_J-5_PIRR;Prevision_realisee_en_J-4_PIRR;Prevision_realisee_en_J-3_PIRR;Prevision_realisee_en_J-2_PIRR; Prevision_realisee_en_J-1_avant_17h_PIRR;Prevision_realisee_en_J-1_apres_17h_PIRR;Prevision_realisee_en_J_avant_15h_PIRR;Prevision_realisee_en_J_apres_15h_PIRR;Prevision_expediteurs_J-1_14H;Prevision_expediteurs_J-1_16H;Prevision_expediteurs_J-1_18H;Prevision_expediteurs_J-1_20H;Prevision_expediteurs_J-1_21H;Prevision_expediteurs_J-1_22H;Prevision_expediteurs_J-1_23H;Prevision_expediteurs_J-1_00H;Prevision_expediteurs_J-1_01H;Prevision_expediteurs_J-1_02H;Prevision_expediteurs_J-1_03H;Prevision_expediteurs_J_04H;Prevision_expediteurs_J_05H;Prevision_expediteurs_J_06H;Prevision_expediteurs_J_07H;Prevision_expediteurs_J_08H;Prevision_expediteurs_J_09H;Prevision_expediteurs_J_10H;Prevision_expediteurs_J_11H;Prevision_expediteurs_J_12H;Prevision_expediteurs_J_13H;Prevision_expediteurs_J_14H;Prevision_expediteurs_J_15H;Prevision_expediteurs_J_16H;Prevision_expediteurs_J_17H;Prevision_expediteurs_J_18H;Prevision_expediteurs_J_19H;Prevision_expediteurs_J_20H;Prevision_expediteurs_J_21H;Prevision_expediteurs_J_22H;Prevision_expediteurs_J_23H;Prevision_expediteurs_J_00H;Prevision_expediteurs_J_01H;Prevision_expediteurs_J_02H;Prevision_expediteurs_J_03H;Temperature_moyenne
12/02/2016;"Toutes zones";1973489001;437826816;1407467575;121201194;6993416;1865212735;1932969123;1939490574;2079116885;2009790177;2021608760;1985765455;1980199517;435900631;440036094;432115516;448619615;437313177;437313157;434353934;435770473;1344956260;1409550085;1398747751;1515005138;1428964849;1428964840;1405095090;1405037040;63178120;61581182;85974529;92818278;137020832;137213416;128199239;121374331;21177724;21801762;22652778;22673854;6491319;18117347;18117192;18017673;1634904475;1931961806;1963659551;1999708631;1999708631;1999708631;1999708631;1999545122;1999545122;1999545122;1999545122;1999545122;1999545122;1999545122;1999545122;1995761490;1993105490;1996291473;1996324206;1996171321;1977434650;1981511815;1976603812;1976756080;1970048992;1971267713;1969785995;1972303496;1972303496;1972303496;1973032438;1973032438;1972884020;1972884020;1972884020;
13/02/2016;"Toutes zones";1614921445;402207952;1206987656;885347;4840490;1769781837;1715969826;1708201833;1734734560;1670350586;1681036098;1635759220;1620661714;410439966;395888475;408805409;410327610;410706004;410706016;395502382;398967739;1289639855;1232724686;1275815824;1301053362;1252466386;1252466548;1222564863;1203954689;49645178;65749930;2090418;2090418;810615;810615;770069;925430;20056838;21606735;21490182;21263170;6367581;17052919;16921906;16813856;1457441537;1482297609;1490726793;1634518652;1634518652;1634481412;1634481412;1634484654;1634484654;1634149082;1634149082;1634149082;1634149082;1634149082;1634149082;1635979281;1635979281;1637048274;1637048274;1637048274;1646112427;1645119712;1640927143;1639197313;1641048226;1642752219;1642752219;1642689378;1640674174;1640674174;1638955971;1639169540;1639169540;1639169540;1639169540;
14/02/2016;"Toutes zones";1659765884;405754244;1246473127;2700634;4837879;1716876594;1813638422;1695963560;1696916530;1699252397;1709430916;1638937208;1655673616;392905791;405410346;402125375;403483415;404752871;404752899;395907990;401347962;1242731108;1323519409;1271125976;1271294966;1286896403;1286896366;1225095817;1236482226;60440257;63918427;2492472;1480850;1465483;1465483;1795427;1778043;20799438;20790240;20219737;20657299;6137640;16316168;16137974;16065385;1645235090;1644367358;1645615477;1653662124;1653662124;1653662124;1653662124;1653662124;1653309363;1653309363;1653227363;1653227363;1653227363;1653227363;1653227363;1652462927;1652462927;1642936331;1642936331;1642942083;1642545465;1643211097;1639151508;1639218813;1639418813;1642125014;1641640857;1641640857;1641640857;1641642515;1641642515;1645552692;1645552692;1645552692;1645552692;
15/02/2016;"Toutes zones";2127220875;437519440;1549683129;135613366;4404940;2068725393;2040751600;2023463819;2035700281;2078258490;2096005073;2119157326;2118715549;444993307;440149142;439802566;439637347;437239162;437239167;438773338;436825458;1538844516;1517339878;1519157962;1506150859;1514387512;1514387460;1536476704;1539705601;63052524;62315008;43303138;68189081;120611518;127892423;127423521;125671826;21835046;20947572;21200153;21722994;6020298;16486023;16483763;16512664;2025279322;2035503578;2048924928;2045390682;2045390678;2045392813;2045392813;2044876056;2044876056;2044876056;2044876057;2044876057;2044876057;2044876057;2044876058;2045155837;2022248837;2024319924;2023162266;2027497024;2029671162;2018510167;2026425088;2022164153;2021737653;2025269434;2028362576;2028725576;2027384576;2027384576;2026733837;2027044849;2027042459;2027042459;2027042459;
16/02/2016;"Toutes zones";2287973972;448375268;1624884607;206052405;8661692;2128238173;2142213597;2240211429;2219660796;2285672453;2297792767;2286097353;2273833672;449893169;447301060;448159333;442595431;455380348;455380368;441002154;448382128;1591360180;1603152055;1649792185;1624970629;1644629481;1644629385;1638559618;1610240073;64783776;69217446;119475315;128943843;179322265;179596608;188480115;196555303;22201048;22543036;22784596;23150893;6340359;18186406;18055466;18656168;1941855411;2067355423;2101264958;2239297422;2240122422;2240122422;2240122422;2240240825;2240240825;2240240825;2240240825;2217881825;2217881825;2217881825;2239201825;2239201825;2240721626;2227254060;2222831447;2222831447;2227610245;2246470094;2257863827;2253165480;2245136414;2235902801;2241878469;2243438638;2243438638;2244774638;2237113258;2245113258;2244889623;2244889623;2244889623;
17/02/2016;"Toutes zones";2370449431;460110245;1678596795;222401378;9341013;2260177808;2315104573;2329535871;2368898393;2338449159;2355724997;2342287794;2365361198;461539964;462798367;452709520;462100444;442925858;442925868;458168133;461158529;1694470058;1750523626;1727586073;1754423526;1700462515;1700462609;1657272352;1667662172;80818931;78533120;125843876;129089211;188700937;192800350;207507273;217217430;23348855;23249460;23396402;23285212;6359849;19536170;19340036;19323067;2168021083;2254418504;2258992325;2312501313;2373993313;2373993313;2380374313;2380374313;2380374313;2380374313;2380625313;2380625313;2380625313;2380625313;2380625313;2384092101;2384092101;2383055165;2366143165;2366900988;2369420605;2369966845;2371437925;2363575839;2332702663;2335798965;2337766302;2335023302;2335023302;2335023302;2334935386;2331845304;2341742911;2341742911;2341742911;
18/02/2016;"Toutes zones";2305247927;452562755;1631611155;214499251;6574766;2240250524;2219144917;2304672010;2300527963;1934512227;2326789127;2288961718;2303928560;456740103;449565319;459868839;451356899;429052985;469867505;449779898;454246809;1686679591;1666556557;1698313149;1687928112;1308489382;1652596605;1628714323;1619576459;73756917;79987785;123685501;138034986;190515231;186099664;191954595;211745201;23073913;23035256;22804521;23207966;6454629;18225353;18512902;18360091;2079783682;2187386339;2208708275;2239014708;2276186708;2276186708;2276157708;2276182597;2276182597;2276962597;2273543597;2273543597;2273543597;2251373597;2264699597;2264905084;2253839331;2287937377;2278937377;2297271919;2286076744;2286076732;2285564023;2278961295;2282369425;2291345008;2287390120;2287390120;2298664120;2298664120;2298664120;2298832540;2298832540;2298832540;2298832540;
19/02/2016;"Toutes zones";2021839208;429655467;1453469601;132220838;6493302;2104053762;2129413887;2133794536;2149776425;2153788915;2153284779;2029259016;2010750940;436004809;442056029;436057988;446697284;448281408;448281423;435937286;431882463;1578200418;1599530127;1568340294;1558350937;1529637860;1529637884;1450260000;1430760347;67191971;65814841;106659627;122361493;169753699;157785635;125469600;130536389;22656564;22012890;22736627;22366711;6115948;17579837;17592130;17571741;1926511708;2009932274;2059333290;2087177218;2121335218;2121335218;2121335218;2121335218;2121605785;2121605785;2121605785;2121605785;2121605785;2121605785;2121605785;2105241917;2105241917;2099697301;2099697301;2100291857;2107084576;2103232561;2102276806;2081190930;2080539147;2076161698;2071332391;2067602303;2052602303;2042402303;2042402303;2042223426;2042223426;2042223426;2042223426;
20/02/2016;"Toutes zones";1537111351;378954579;1152194591;2885192;3076989;1794342095;1811463019;1678159612;1652935878;1568173996;1582913434;1544301441;1521027459;406599301;400026511;405625490;404527741;403420698;403420693;376149181;377374385;1326967611;1349381606;1250486802;1226138708;1158442917;1158442783;1150949074;1133800707;39531574;41003372;749831;846082;475469;14123469;10259763;2903048;21243609;21051530;21297489;21423347;5834912;6926489;6943423;6949319;1523546038;1541189230;1553863522;1540408148;1517408148;1516008148;1516008148;1516204228;1516204228;1529852228;1529852228;1529852228;1529852228;1529852228;1529852228;1529852228;1528721223;1528721223;1528721223;1527156467;1522465747;1522535355;1520914308;1521900670;1522192874;1521559881;1518483881;1518483881;1544718494;1544718494;1549412494;1549412494;1540207954;1540207954;1536407954;
21/02/2016;"Toutes zones";1366832957;371471774;991337555;544561;3479067;1590418130;1575498907;1489559213;1485136821;1412366733;1413475804;1336661071;1352852234;390978990;399648297;396714807;396714803;379972443;379972420;370952742;373241824;1154933945;1124320854;1066562398;1066562412;1025953376;1025953442;953270334;954509644;25018550;31286497;6265718;2037189;920292;920292;5841681;18509443;19486645;20243259;20016290;19822417;5520622;6629650;6596314;6591323;1493890531;1495692148;1494606482;1492229665;1492229665;1492229665;1491994746;1491994746;1491994746;1491994746;1491994746;1491994746;1491994746;1491994746;1491994746;1491994746;1491994746;1487541018;1487541018;1487064088;1487064088;1452441235;1454697003;1456925385;1458266058;1458266058;1459266058;1459046416;1413046416;1411890416;1402995211;1402204758;1402204758;1399963336;1399963336;
