20090101,585295717,1.2,5
20090102,649062291,0.4,6
20090103,676288497,-0.6,7
20090104,716023243,-2.3,1
20090105,812006421,-3,2
20090106,841984402,-3.3,3
20090107,873868785,-3.4,4
20090108,866001991,-4,5
20090109,807698616,-3.3,6
20090110,746899422,-3.4,7
20090111,749329564,-4.5,1
20090112,797527100,-4,2
20090113,758784544,-1.5,3
20090114,729717381,0,4
20090115,724680743,0,5
20090116,701457769,0.7,6
20090117,630529852,2.9,7
20090118,595990531,6.2,1
20090119,604883166,8,2
20090120,643786443,5.9,3
20090121,674698890,3.9,4
20090122,674208316,3.2,5
20090123,612739514,4.9,6
20090124,610846345,4.6,7
20090125,612587634,3.8,1
20090126,675339530,3.7,2
20090127,683623265,3.5,3
20090128,694390510,2.6,4
20090129,703600286,0.9,5
20090130,683446580,1.1,6
20090131,622582514,2.6,7
20090201,618094929,2.9,1
20090202,653996452,4.1,2
20090203,666774967,3.4,3
20090204,620183721,5.9,4
20090205,566265829,7.7,5
20090206,574290373,5.7,6
20090207,606861647,3.2,7
20090208,644688816,1.4,1
20090209,632597202,4,2
20090210,607476298,5.9,3
20090211,657608474,4.1,4
20090212,706596916,1.9,5
20090213,699299233,0.9,6
20090214,685782354,0.3,7
20090215,693065432,-0.5,1
20090216,725395656,-0.1,2
20090217,678115212,1.4,3
20090218,658906748,1.9,4
20090219,694929542,0.6,5
20090220,649182948,1.5,6
20090221,581955935,3.3,7
20090222,590330874,3.5,1
20090223,606600074,4.4,2
20090224,609281516,4.6,3
20090225,609233279,4.1,4
20090226,575568822,5.2,5
20090227,522894546,6.2,6
20090228,450333386,9.3,7
20090301,450866408,10.2,1
20090302,524604857,8.6,2
20090303,542603163,7.9,3
20090304,586960821,6.6,4
20090305,623930463,4.5,5
20090306,620504923,2.8,6
20090307,533659628,3.5,7
20090308,493600451,6.6,1
20090309,556985603,6,2
20090310,571623275,6.2,3
20090311,545450916,6,4
20090312,524323831,5.9,5
20090313,451508564,8,6
20090314,392943958,10.8,7
20090315,393283843,10.5,1
20090316,435805918,9.5,2
20090317,422317344,9.5,3
20090318,407967332,9.4,4
20090319,415811618,9.1,5
20090320,490375566,6.1,6
20090321,483436654,4.7,7
20090322,453896602,5.8,1
20090323,462239421,8.1,2
20090324,526438612,5.7,3
20090325,530816235,6.2,4
20090326,465826945,8.4,5
20090327,411179408,11.2,6
20090328,406626634,9.1,7
20090329,450057761,7.9,1
20090330,492804147,6.6,2
20090331,439927743,8.1,3
20090401,369740657,9.8,4
20090402,355296452,11.1,5
20090403,317223099,12.4,6
20090404,267769648,12.4,7
20090405,250748623,13,1
20090406,265613880,14.8,2
20090407,297564310,13.5,3
20090408,294052052,12.9,4
20090409,263307697,14.2,5
20090410,237951175,15.2,6
20090411,230384424,15.2,7
